Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vtol_state,landed_state
1676469335.504154,436,1676469335,503478136,,0,2
1676469336.0030584,437,1676469336,2630050,,0,2
1676469336.5055866,438,1676469336,504971573,,0,2
1676469337.0030298,439,1676469337,2478151,,0,2
1676469337.5029047,440,1676469337,502502478,,0,2
1676469338.0031142,441,1676469338,2107978,,0,2
1676469338.5041194,442,1676469338,503566404,,0,2
1676469339.0031059,443,1676469339,2685402,,0,2
1676469339.5049703,444,1676469339,504532923,,0,2
1676469340.003117,445,1676469340,2690556,,0,2
1676469340.5024686,446,1676469340,501603612,,0,2
1676469341.0021963,447,1676469341,1717446,,0,2
1676469341.5054066,448,1676469341,504585820,,0,2
1676469342.002065,449,1676469342,1582080,,0,2
1676469342.503548,450,1676469342,502811562,,0,2
1676469343.005047,451,1676469343,3863805,,0,2
1676469343.502344,452,1676469343,501643088,,0,2
1676469344.0033321,453,1676469344,2653544,,0,2
1676469344.503434,454,1676469344,502886685,,0,2
1676469345.0047932,455,1676469345,3897223,,0,2
1676469345.5034478,456,1676469345,502581877,,0,2
1676469346.005953,457,1676469346,4885272,,0,2
1676469346.5052547,458,1676469346,504008389,,0,2
1676469347.0041928,459,1676469347,3152858,,0,2
1676469347.5053515,460,1676469347,504556559,,0,2
1676469348.0061438,461,1676469348,5650209,,0,2
1676469348.5058355,462,1676469348,505011448,,0,2
1676469349.0026846,463,1676469349,2071758,,0,2
1676469349.5056422,464,1676469349,504963801,,0,2
1676469350.004543,465,1676469350,3890757,,0,2
1676469350.505108,466,1676469350,504032144,,0,2
1676469351.0056245,467,1676469351,4981908,,0,2
1676469351.504951,468,1676469351,504083336,,0,2
1676469352.0063102,469,1676469352,4986459,,0,2
1676469352.5031285,470,1676469352,502680710,,0,2
1676469353.0052338,471,1676469353,3779799,,0,2
1676469353.5053256,472,1676469353,504853079,,0,2
1676469354.0056663,473,1676469354,3903723,,0,1
1676469354.5035493,474,1676469354,502665080,,0,1
1676469355.005864,475,1676469355,5143918,,0,1
